id,kind,en,pl,sommelier_note
"dish.atelier-amaro.r1-d1.description","dish_description","San Marzano tomato, fior di latte, basil, and olive oil.","Pomidor San Marzano, fior di latte, bazylia i oliwa z oliwek.",""
"dish.atelier-amaro.r1-d10.description","dish_description","Mascarpone cream, espresso-soaked savoiardi, and cocoa.","Krem mascarpone, savoiardi nasączone espresso i kakao.",""
"dish.atelier-amaro.r1-d2.description","dish_description","Handmade tonnarelli with pecorino romano and black pepper.","Ręcznie robione tonnarelli z pecorino romano i czarnym pieprzem.",""
"dish.atelier-amaro.r1-d3.description","dish_description","Slow-cooked beef and pork ragu with egg tagliatelle.","Wolno duszony ragù z wołowiny i wieprzowiny z makaronem tagliatelle z jajkami.",""
"dish.atelier-amaro.r1-d4.description","dish_description","Braised veal shank, saffron jus, and gremolata.","Duszona pręga cielęca, sos szafranowy i gremolata.",""
"dish.atelier-amaro.r1-d5.description","dish_description","Carnaroli rice with saffron, butter, and parmigiano.","Ryż carnaroli z szafranem, masłem i parmigiano.",""
"dish.atelier-amaro.r1-d6.description","dish_description","Oven-roasted sea bass, lemon, capers, and herbs.","Pieczony labraks z piekarnika, cytryna, kapary i zioła.",""
"dish.atelier-amaro.r1-d7.description","dish_description","Cold sliced veal with creamy tuna-caper sauce.","Zimna plasterkowana cielęcina z kremowym sosem tuńczykowo-kaparowym.",""
"dish.atelier-amaro.r1-d8.description","dish_description","Layered eggplant, tomato sauce, mozzarella, and basil.","Warstwowy bakłażan, sos pomidorowy, mozzarella i bazylia.",""
"dish.atelier-amaro.r1-d9.description","dish_description","Creamy burrata, heirloom tomatoes, basil, and aged balsamic.","Kremowa burrata, pomidory dziedziczne, bazylia i dojrzewający balsamico.",""
"dish.bottiglieria-1881.r3-d1.description","dish_description","Crisp potatoes, smoked paprika brava sauce, and aioli.","Chrupiące ziemniaki, sos brava z wędzoną papryką i aioli.",""
"dish.bottiglieria-1881.r3-d10.description","dish_description","Burnt-top cheesecake with creamy center.","Sernik z przypalonym wierzchem i kremowym środkiem.",""
"dish.bottiglieria-1881.r3-d2.description","dish_description","Shrimp sauteed in olive oil, garlic, and dried chili.","Krewetki podsmażane na oliwie z czosnkiem i suszonym chili.",""
"dish.bottiglieria-1881.r3-d3.description","dish_description","Potato and onion omelet with olive oil confit texture.","Omlet z ziemniakami i cebulą o teksturze konfitowanej w oliwie.",""
"dish.bottiglieria-1881.r3-d4.description","dish_description","Tender octopus, smoked paprika, potato, and olive oil.","Delikatna ośmiornica, wędzona papryka, ziemniak i oliwa.",""
"dish.bottiglieria-1881.r3-d5.description","dish_description","Saffron rice with chicken, rabbit, and green beans.","Ryż z szafranem, kurczak, królik i zielona fasolka.",""
"dish.bottiglieria-1881.r3-d6.description","dish_description","Salt cod with emulsified garlic and olive oil sauce.","Solony dorsz z emulgowanym sosem z czosnku i oliwy.",""
"dish.bottiglieria-1881.r3-d7.description","dish_description","Slow-roasted suckling pig with crackling skin.","Wolno pieczone prosię z chrupiącą skórką.",""
"dish.bottiglieria-1881.r3-d8.description","dish_description","Creamy Iberico ham croquettes with crisp crust.","Kremowe krokiety z szynką ibérico w chrupiącej panierce.",""
"dish.bottiglieria-1881.r3-d9.description","dish_description","Dry-aged rib steak cooked over oak embers.","Stek żebrowy dojrzewający na sucho, pieczony nad dębowym żarem.",""
"dish.brovariusz-wroclaw.r5-d1.description","dish_description","Fresh white fish, leche de tigre, red onion, and cancha.","Świeża biała ryba, leche de tigre, czerwona cebula i kukurydza cancha.",""
"dish.brovariusz-wroclaw.r5-d10.description","dish_description","Pumpkin-sweet potato fritters with chancaca syrup.","Pączki z dyni i batata z syropem chancaca.",""
"dish.brovariusz-wroclaw.r5-d2.description","dish_description","Sliced tuna with ponzu, aji amarillo, and sesame.","Plastry tuńczyka z ponzu, ají amarillo i sezamem.",""
"dish.brovariusz-wroclaw.r5-d3.description","dish_description","Stir-fried beef, tomato, onion, soy, and fries.","Wołowina z woka z pomidorem, cebulą, sosem sojowym i frytkami.",""
"dish.brovariusz-wroclaw.r5-d4.description","dish_description","Creamy chicken stew with aji amarillo and walnuts.","Kremowy gulasz z kurczaka z ají amarillo i orzechami włoskimi.",""
"dish.brovariusz-wroclaw.r5-d5.description","dish_description","Layered potato terrine with crab, avocado, and lime.","Warstwowy terrine ziemniaczany z krabem, awokado i limonką.",""
"dish.brovariusz-wroclaw.r5-d6.description","dish_description","Beef heart skewers with aji panca glaze.","Szaszłyki z serca wołowego w glazurze ají panca.",""
"dish.brovariusz-wroclaw.r5-d7.description","dish_description","Seafood rice with saffron, peas, and rocoto.","Ryż z owocami morza, szafranem, groszkiem i papryczką rocoto.",""
"dish.brovariusz-wroclaw.r5-d8.description","dish_description","Braised lamb with cilantro, beer, and beans.","Duszona jagnięcina z kolendrą, piwem i fasolą.",""
"dish.brovariusz-wroclaw.r5-d9.description","dish_description","Crisp rice-bean cake with fried egg and salsa criolla.","Chrupiący placek z ryżu i fasoli z sadzonym jajkiem i salsa criolla.",""
"dish.pod-aniolami.r4-d1.description","dish_description","Caramelized onion broth, crouton, and gruyere gratin.","Bulion z karmelizowanej cebuli, grzanka i zapiekanka z gruyère.",""
"dish.pod-aniolami.r4-d10.description","dish_description","Vanilla custard with caramelized sugar crust.","Krem waniliowy z karmelizowaną skorupką cukrową.",""
"dish.pod-aniolami.r4-d2.description","dish_description","Striploin, pommes frites, and cafe de paris butter.","Rostbef, pommes frites i masło Café de Paris.",""
